,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,port augusta,-32.49,137.76,89.01,41,97,12.75,AU,1576980420
387,ballina,54.11,-9.15,45.0,97,90,5.01,IE,1576980420
388,churapcha,62.0,132.43,-35.27,94,100,1.54,RU,1576980421
389,baker city,44.77,-117.83,44.6,48,1,11.41,US,1576980421
390,freeport,26.54,-78.7,73.44,73,100,17.56,BS,1576980421
391,werda,-25.27,23.28,75.25,55,100,2.04,BW,1576980421
392,yeniseysk,58.45,92.17,-11.72,92,64,6.06,RU,1576980421
393,jampur,29.64,70.6,56.08,36,0,4.52,PK,1576980421
394,adancata,47.73,26.3,46.99,93,100,5.82,RO,1576980421
395,los llanos de aridane,28.66,-17.92,66.2,63,20,10.29,ES,1576980422
396,corn island,12.17,-83.04,82.06,81,75,19.04,NI,1576980422
397,takoradi,4.89,-1.75,80.15,82,1,4.25,GH,1576980422
398,tuatapere,-46.13,167.69,57.0,71,72,13.0,NZ,1576980422
399,kitakata,37.67,139.86,46.0,63,100,0.78,JP,1576980422
400,port lincoln,-34.72,135.86,66.99,57,99,7.52,AU,1576980423
401,bajil,38.23,-2.07,48.99,66,0,37.0,ES,1576980423
402,nantucket,41.28,-70.1,36.0,86,40,10.98,US,1576980247
403,port-gentil,-0.72,8.78,81.64,73,100,5.19,GA,1576980423
404,hay river,60.82,-115.79,-2.2,77,90,2.24,CA,1576980423
405,cidreira,-30.17,-50.22,73.06,76,98,15.57,BR,1576980423
406,yar-sale,66.83,70.83,-11.7,98,32,8.39,RU,1576980423
407,ginir,7.14,40.71,54.07,84,12,1.03,ET,1576980424
408,gumdag,39.2,54.59,41.85,54,100,16.82,TM,1576980424
409,marapanim,-0.71,-47.7,82.54,77,100,18.68,BR,1576980424
410,rundu,-17.91,19.77,71.6,68,90,9.17,NA,1576980424
411,fegyvernek,47.25,20.53,51.8,93,25,13.87,HU,1576980424
412,lalmohan,22.34,90.74,64.99,50,31,5.97,BD,1576980424
413,columbus,32.46,-84.99,50.0,71,75,11.41,US,1576980405
414,fort nelson,58.81,-122.69,-13.0,83,40,3.96,CA,1576980425
415,sladkovo,55.53,70.34,12.04,96,89,7.02,RU,1576980425
416,san ramon,12.92,-85.84,66.43,88,1,7.29,NI,1576980425
417,lodja,-3.52,23.6,66.52,97,98,1.54,CD,1576980425
418,saucillo,28.03,-105.29,47.64,28,0,4.29,MX,1576980425
419,strezhevoy,60.73,77.6,5.0,84,75,4.47,RU,1576980425
420,moju,-1.89,-48.77,75.2,94,82,9.17,BR,1576980425
421,san andres,13.32,122.68,83.77,65,100,5.61,PH,1576980426
422,taoudenni,22.68,-3.98,57.54,31,0,6.62,ML,1576980426
423,quelimane,-17.88,36.89,78.13,87,10,1.81,MZ,1576980426
424,roebourne,-20.77,117.15,102.13,20,0,2.91,AU,1576980426
425,rio grande,-32.03,-52.1,66.0,81,0,5.01,BR,1576980426
426,mogadishu,2.04,45.34,80.8,80,0,20.78,SO,1576980426
427,castro,-42.48,-73.76,59.0,62,85,9.17,CL,1576980426
428,luanda,-8.83,13.24,78.8,88,20,2.24,AO,1576980179
429,novopetrovskoye,55.99,36.47,35.6,95,90,8.95,RU,1576980427
430,shakawe,-18.36,21.84,70.63,77,30,5.57,BW,1576980427
431,zhangye,38.94,100.46,30.09,15,48,5.68,CN,1576980427
432,trairi,-3.28,-39.27,76.62,80,73,6.26,BR,1576980427
433,arenillas,-3.56,-80.07,89.6,78,90,3.36,EC,1576980427
434,popondetta,-8.77,148.24,79.97,64,100,5.26,PG,1576980428
435,saint-paul,45.22,1.9,48.99,93,100,17.22,FR,1576980428
436,umm kaddadah,13.6,26.69,62.58,36,0,11.5,SD,1576980428
437,vincennes,48.85,2.44,50.0,87,100,17.22,FR,1576980428
438,pokhara,28.21,83.99,58.15,56,0,0.56,NP,1576980428
439,skjervoy,70.03,20.97,29.08,69,89,25.28,NO,1576980429
440,husavik,50.56,-96.99,16.0,91,56,6.55,CA,1576980429
441,salym,60.06,71.48,0.82,96,86,5.48,RU,1576980429
442,healdsburg,38.61,-122.87,57.0,76,20,4.45,US,1576980429
443,tocopilla,-22.09,-70.2,59.79,36,0,5.06,CL,1576980429
444,moanda,-5.93,12.38,77.72,86,100,2.93,CD,1576980429
445,cabedelo,-6.97,-34.84,77.0,83,20,5.82,BR,1576980430
446,kotaparh,19.15,82.35,66.78,67,0,1.41,IN,1576980430
447,bilma,18.69,12.92,58.3,20,0,5.5,NE,1576980430
448,berlevag,70.86,29.09,33.42,71,97,5.28,NO,1576980430
449,thakurgaon,26.02,88.47,62.64,52,0,4.38,BD,1576980430
450,noshiro,40.21,140.05,33.8,56,75,1.12,JP,1576980431
451,quzhou,28.97,118.86,50.32,85,96,9.75,CN,1576980431
452,sabro,56.21,10.03,43.0,100,99,6.93,DK,1576980431
453,puri,-7.54,112.45,88.16,59,87,4.21,ID,1576980431
454,valer,41.76,-6.18,43.7,77,66,20.6,ES,1576980431
455,nara,34.68,135.8,50.0,61,75,12.75,JP,1576980432
456,kidderminster,52.39,-2.25,45.0,93,75,6.93,GB,1576980432
457,tommot,58.97,126.27,-16.31,93,100,10.25,RU,1576980432
458,uspenka,48.39,39.16,42.13,86,100,12.53,UA,1576980432
459,lososina,49.0,140.31,7.48,59,0,13.4,RU,1576980432
460,aplahoue,6.93,1.68,76.71,80,0,1.97,BJ,1576980432
461,la libertad,-16.38,-71.56,60.8,41,100,2.33,PE,1576980432
462,henties bay,-22.12,14.28,61.0,89,15,1.99,NA,1576980433
463,byron bay,-28.65,153.62,86.0,69,0,10.29,AU,1576980433
464,general pico,-35.66,-63.75,60.51,34,0,4.59,AR,1576980433
465,calbuco,-41.77,-73.13,58.46,81,0,10.33,CL,1576980433
466,jawhar,19.91,73.23,74.35,46,0,4.45,IN,1576980433
467,cherdyn,60.4,56.48,-1.82,97,25,3.31,RU,1576980434
468,yumen,40.29,97.04,28.15,25,58,8.39,CN,1576980434
469,paita,-5.09,-81.11,70.66,78,22,6.58,PE,1576980434
470,magnor,59.95,12.2,36.0,100,90,1.9,SE,1576980434
471,udachnyy,66.42,112.4,-25.6,74,0,4.47,RU,1576980434
472,malpe,13.35,74.72,75.2,83,20,4.7,IN,1576980435
473,kajaani,64.22,27.73,32.0,96,90,4.7,FI,1576980435
474,la ronge,55.1,-105.3,14.0,92,90,5.82,CA,1576980435
475,sola,-3.17,33.8,62.2,95,61,5.59,TZ,1576980435
476,tiarei,-17.53,-149.33,82.4,78,75,11.41,PF,1576980435
477,lokoja,7.8,6.74,73.33,37,0,1.79,NG,1576980435
478,rio bonito,-22.71,-42.63,84.2,70,75,6.93,BR,1576980435
479,santiago del estero,-27.8,-64.26,67.17,50,21,7.25,AR,1576980436
480,eureka,40.8,-124.16,53.6,87,90,4.7,US,1576980436
481,san quintin,17.54,120.52,84.29,58,5,2.42,PH,1576980436
482,hualmay,-11.1,-77.61,65.86,84,98,3.36,PE,1576980436
483,kedrovyy,56.17,91.82,1.4,84,90,2.24,RU,1576980436
484,jalpan,19.0,-100.36,57.0,92,94,1.01,MX,1576980436
485,hauterive,49.18,-68.27,15.8,92,75,1.95,CA,1576980436
486,sombor,45.77,19.11,46.4,87,8,12.75,RS,1576980437
487,caravelas,-17.73,-39.27,72.55,94,0,5.99,BR,1576980437
488,sena madureira,-9.07,-68.66,74.52,93,93,1.79,BR,1576980437
489,marawi,8.0,124.29,84.99,74,98,4.0,PH,1576980437
490,gorakhpur,26.76,83.37,59.14,57,0,3.94,IN,1576980437
491,qasigiannguit,68.82,-51.19,23.0,41,100,14.99,GL,1576980438
492,harper,30.3,-99.24,48.0,36,1,5.01,US,1576980438
493,treinta y tres,-33.23,-54.39,54.46,90,0,11.7,UY,1576980438
494,charters towers,-20.07,146.27,96.53,23,0,11.86,AU,1576980438
495,urengoy,65.96,78.37,-8.48,98,88,5.19,RU,1576980438
496,abha,18.22,42.5,51.8,62,0,0.69,SA,1576980438
497,antofagasta,-23.65,-70.4,66.2,72,90,10.29,CL,1576980351
498,de-kastri,51.48,140.77,-1.25,82,100,7.76,RU,1576980439
499,muyezerskiy,63.93,31.65,33.03,97,100,5.19,RU,1576980439
500,lensk,60.71,114.91,-16.8,95,100,9.19,RU,1576980439
501,boyuibe,-20.43,-63.28,64.36,70,71,3.42,BO,1576980439
502,genhe,50.78,121.52,-11.74,86,0,0.96,CN,1576980439
503,codajas,-3.84,-62.06,76.15,97,100,1.52,BR,1576980440
504,vesele,47.02,34.92,48.81,79,33,14.07,UA,1576980440
505,mayumba,-3.44,10.65,79.68,83,100,4.56,GA,1576980440
506,jiwani,25.05,61.74,68.47,41,0,18.19,PK,1576980440
507,viedma,-40.81,-62.99,60.6,42,0,16.35,AR,1576980440
508,marsh harbour,26.54,-77.06,72.77,77,100,20.45,BS,1576980440
509,diego de almagro,-26.39,-70.05,59.95,37,1,1.23,CL,1576980441
510,howard,44.01,-97.53,32.0,86,1,10.29,US,1576980441
511,rognan,67.1,15.4,39.99,64,20,18.34,NO,1576980441
512,akureyri,65.68,-18.09,32.0,96,90,20.8,IS,1576980441
513,lagoa,37.14,-8.45,57.0,100,90,3.36,PT,1576980441
514,revelstoke,50.99,-118.19,32.0,97,90,3.36,CA,1576980152
515,borgarnes,64.54,-21.92,33.8,55,63,26.4,IS,1576980442
516,kishni,27.02,79.26,59.65,65,0,4.83,IN,1576980442
517,pavilosta,56.89,21.19,44.6,100,73,8.05,LV,1576980442
518,miandrivazo,-19.53,45.46,79.18,75,100,2.15,MG,1576980442
519,komsomolskiy,67.55,63.78,0.57,97,94,7.67,RU,1576980443
520,hvide sande,56.01,8.13,44.01,93,100,5.82,DK,1576980443
521,gayeri,12.65,0.49,67.73,15,0,9.37,BF,1576980443
522,ribeira brava,32.65,-17.07,64.4,77,20,4.7,PT,1576980443
523,jijiga,9.35,42.8,52.59,63,0,11.25,ET,1576980444
524,shitanjing,39.23,106.34,28.27,38,0,2.53,CN,1576980444
525,ayabaca,-4.64,-79.72,58.46,93,36,1.25,PE,1576980444
526,monkey bay,-14.08,34.91,78.94,68,86,4.94,MW,1576980444
527,molde,62.74,7.16,41.0,65,0,8.05,NO,1576980444
528,sabha,27.03,14.43,55.78,23,35,8.93,LY,1576980445
529,shihezi,44.3,86.03,18.57,80,100,3.91,CN,1576980445
530,salinopolis,-0.61,-47.36,82.54,77,100,18.68,BR,1576980445
531,singkang,2.1,102.8,80.6,78,20,4.7,MY,1576980445
532,lasa,34.92,32.53,55.4,81,34,6.93,CY,1576980445
533,baturaja,-4.12,104.17,82.22,81,100,2.89,ID,1576980446
534,gorontalo,0.54,123.06,89.22,55,92,3.18,ID,1576980446
535,mayo,63.59,-135.9,-47.2,63,20,2.24,CA,1576980446
536,nicoya,10.15,-85.45,82.4,69,20,18.34,CR,1576980446
537,kristianstad,56.03,14.16,41.0,100,90,2.24,SE,1576980446
538,cayenne,4.94,-52.33,77.0,94,90,4.7,GF,1576980446
539,omboue,-1.57,9.26,74.79,92,100,1.9,GA,1576980447
540,garden city,43.62,-116.24,44.6,45,1,12.75,US,1576980447
541,sisimiut,66.94,-53.67,4.15,64,60,3.83,GL,1576980424
542,puerto boyaca,5.98,-74.59,76.23,85,100,0.85,CO,1576980447
543,khash,28.22,61.21,41.9,37,0,6.6,IR,1576980447
544,coihaique,-45.58,-72.07,55.4,71,100,4.7,CL,1576980447
545,salinas,36.67,-121.66,59.0,71,1,4.7,US,1576980448
546,yagodnoye,62.52,149.63,-21.86,96,100,1.41,RU,1576980448
547,kosh-agach,49.99,88.66,1.9,92,90,3.29,RU,1576980448
548,te anau,-45.41,167.72,52.05,77,81,8.72,NZ,1576980448
549,mackenzie,55.34,-123.09,28.4,86,90,10.29,CA,1576980449
550,saint-francois,46.42,3.91,48.2,70,100,11.41,FR,1576980449
